"","species","genus","year","height_final","density","dbh","tree_biomass_Mg","date"
"821","polyandra","Maranthes","2015",6.05822073944366,0.851291667,253,0.0766208813051603,2015-09-14
"195","leiocarpus","Anogeissus","2012",12.3617041452033,0.705899829,132,0.035290020402229,2012-12-03
"409","leiocarpus","Anogeissus","2013",13,0.705899829,144,0.0441666071366291,2013-10-10
"618","leiocarpus","Anogeissus","2014",13.6806258895277,0.705899829,158,0.0559558944693123,2014-11-28
"822","leiocarpus","Anogeissus","2015",14.554965994716,0.705899829,178,0.0755573819751878,2015-09-14
"196","oliveri","Daniellia","2012",19.4861719569536,0.493363636,530,0.626798619085888,2012-12-03
"410","oliveri","Daniellia","2013",19.5,0.493363636,531,0.629612605734824,2013-10-10
"619","oliveri","Daniellia","2014",19.5138020260169,0.493363636,532,0.632433578434022,2014-11-28
"823","oliveri","Daniellia","2015",19.5138020260169,0.493363636,532,0.632433578434022,2015-09-14
"197","paradoxa","Vitellaria","2012",12.7742660459845,0.737922763,160,0.0560105006417091,2012-12-03
"411","paradoxa","Vitellaria","2013",13,0.737922763,165,0.0606184424322329,2013-10-10
"620","paradoxa","Vitellaria","2014",13,0.737922763,165,0.0606184424322329,2014-11-28
"824","paradoxa","Vitellaria","2015",13.1757155786125,0.737922763,169,0.0644527055942477,2015-09-14
"198","lanceolata","Lophira","2012",6.95646411753645,0.792,168,0.0360923299831316,2012-12-03
"412","lanceolata","Lophira","2013",7,0.792,169,0.036751854275136,2013-10-10
"621","lanceolata","Lophira","2014",6.86860947868523,0.792,166,0.0347930745420056,2014-11-28
"825","lanceolata","Lophira","2015",6.86860947868523,0.792,166,0.0347930745420056,2015-09-14
"199","paradoxa","Vitellaria","2012",11.8392094607186,0.737922763,361,0.264259519169949,2012-12-03
"413","paradoxa","Vitellaria","2013",12,0.737922763,369,0.279851417334698,2013-10-10
"622","paradoxa","Vitellaria","2014",11.9401157926392,0.737922763,366,0.273945544702465,2014-11-28
