plot_code,cwd_transect_num,transect_area_m2,measurement_num,year,month,day,sub_transect_start_point,sub_transect_end_point,size_class,decay_class,diameter_top_1_cm,diameter_top_2_cm,diameter_bottom_1_cm,diameter_bottom_2_cm,length_cm,forest_weight_total_g,forest_weight_sample_g,dry_weight_sample_g,quality_code,is_stock,include_as_branch_npp,note,DaysBetween
XXX-04,13,4,2,2019,6,17,NA,NA,NA,2,2,4,NA,NA,0.0001,NA,NA,NA,NA,N,Y,fake_data_to_test_R_code,96
XXX-04,13,4,3,2019,6,17,NA,NA,NA,3,3,2,NA,NA,0.0001,NA,NA,NA,NA,N,Y,fake_data_to_test_R_code,96
XXX-04,13,4,4,2019,6,17,NA,NA,NA,4,2,4,NA,NA,0.0001,NA,NA,NA,NA,N,Y,fake_data_to_test_R_code,96
XXX-04,13,4,5,2019,6,17,NA,NA,NA,5,3,3,NA,NA,0.0001,NA,NA,NA,NA,N,Y,fake_data_to_test_R_code,96
XXX-04,14,4,1,2019,6,17,NA,NA,NA,1,4,4,NA,NA,0.0001,NA,NA,NA,NA,N,Y,fake_data_to_test_R_code,96
XXX-04,14,4,2,2019,6,17,NA,NA,NA,2,5,2,NA,NA,0.0001,NA,NA,NA,NA,N,Y,fake_data_to_test_R_code,96
XXX-04,14,4,3,2019,6,17,NA,NA,NA,3,6,5,NA,NA,0.0001,NA,NA,NA,NA,N,Y,fake_data_to_test_R_code,96
XXX-04,14,4,4,2019,6,17,NA,NA,NA,4,7,4,NA,NA,0.0001,NA,NA,NA,NA,N,Y,fake_data_to_test_R_code,96
XXX-04,14,4,5,2019,6,17,NA,NA,NA,5,2,2,NA,NA,0.0001,NA,NA,NA,NA,N,Y,fake_data_to_test_R_code,96
XXX-04,15,4,1,2019,6,17,NA,NA,NA,1,3,3,NA,NA,0.0001,NA,NA,NA,NA,N,Y,fake_data_to_test_R_code,96
XXX-04,15,4,2,2019,6,17,NA,NA,NA,2,4,4,NA,NA,0.0001,NA,NA,NA,NA,N,Y,fake_data_to_test_R_code,96
XXX-04,15,4,3,2019,6,17,NA,NA,NA,3,2,5,NA,NA,0.0001,NA,NA,NA,NA,N,Y,fake_data_to_test_R_code,96
XXX-04,15,4,4,2019,6,17,NA,NA,NA,4,3,4,NA,NA,0.0001,NA,NA,NA,NA,N,Y,fake_data_to_test_R_code,96
XXX-04,15,4,5,2019,6,17,NA,NA,NA,5,4,2,NA,NA,0.0001,NA,NA,NA,NA,N,Y,fake_data_to_test_R_code,96
XXX-04,16,4,1,2019,6,17,NA,NA,NA,1,2,3,NA,NA,0.0001,NA,NA,NA,NA,N,Y,fake_data_to_test_R_code,96
XXX-04,16,4,2,2019,6,17,NA,NA,NA,2,3,4,NA,NA,0.0001,NA,NA,NA,NA,N,Y,fake_data_to_test_R_code,96
XXX-04,16,4,3,2019,6,17,NA,NA,NA,3,4,5,NA,NA,0.0001,NA,NA,NA,NA,N,Y,fake_data_to_test_R_code,96
XXX-04,16,4,4,2019,6,17,NA,NA,NA,4,5,4,NA,NA,0.0001,NA,NA,NA,NA,N,Y,fake_data_to_test_R_code,96
XXX-04,16,4,5,2019,6,17,NA,NA,NA,5,6,4,NA,NA,0.0001,NA,NA,NA,NA,N,Y,fake_data_to_test_R_code,96
XXX-04,17,4,1,2019,6,17,NA,NA,NA,1,7,3,NA,NA,0.0001,NA,NA,NA,NA,N,Y,fake_data_to_test_R_code,96
XXX-04,17,4,2,2019,6,17,NA,NA,NA,2,2,4,NA,NA,0.0001,NA,NA,NA,NA,N,Y,fake_data_to_test_R_code,96
XXX-04,17,4,3,2019,6,17,NA,NA,NA,3,3,2,NA,NA,0.0001,NA,NA,NA,NA,N,Y,fake_data_to_test_R_code,96
XXX-04,17,4,4,2019,6,17,NA,NA,NA,4,2,4,NA,NA,0.0001,NA,NA,NA,NA,N,Y,fake_data_to_test_R_code,96
XXX-04,1,4,1,2015,7,2,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,NA,Y,N,,1
XXX-04,1,4,2,2015,7,2,NA,NA,NA,2,NA,NA,NA,NA,NA,0,0,0,NA,Y,N,,1
XXX-04,1,4,3,2015,7,2,NA,NA,NA,3,NA,NA,NA,NA,NA,0,0,0,NA,Y,N,,1
XXX-04,1,4,4,2015,7,2,NA,NA,NA,4,NA,NA,NA,NA,NA,0,0,0,NA,Y,N,,1
XXX-04,1,4,5,2015,7,2,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,0,NA,Y,N,,1
XXX-04,2,4,1,2015,7,2,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,NA,Y,N,,1
XXX-04,2,4,2,2015,7,2,NA,NA,NA,2,NA,NA,NA,NA,NA,0,0,0,NA,Y,N,,1
XXX-04,2,4,3,2015,7,2,NA,NA,NA,3,NA,NA,NA,NA,NA,0,0,0,NA,Y,N,,1
XXX-04,2,4,4,2015,7,2,NA,NA,NA,4,NA,NA,NA,NA,NA,1200,120,52.9,NA,Y,N,,1
XXX-04,2,4,5,2015,7,2,NA,NA,NA,5,NA,NA,NA,NA,NA,1500,150,64.3,NA,Y,N,,1
XXX-04,3,4,1,2015,7,2,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,NA,Y,N,,1
XXX-04,3,4,2,2015,7,2,NA,NA,NA,2,NA,NA,NA,NA,NA,0,0,0,NA,Y,N,,1
XXX-04,3,4,3,2015,7,2,NA,NA,NA,3,NA,NA,NA,NA,NA,0,0,0,NA,Y,N,,1
XXX-04,3,4,4,2015,7,2,NA,NA,NA,4,NA,NA,NA,NA,NA,0,0,0,NA,Y,N,,1
XXX-04,3,4,5,2015,7,2,NA,NA,NA,5,NA,NA,NA,NA,NA,2700,270,104.9,NA,Y,N,,1
XXX-04,4,4,1,2015,7,2,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,NA,Y,N,,1
XXX-04,4,4,2,2015,7,2,NA,NA,NA,2,NA,NA,NA,NA,NA,0,0,0,NA,Y,N,,1
XXX-04,4,4,3,2015,7,2,NA,NA,NA,3,NA,NA,NA,NA,NA,0,0,0,NA,Y,N,,1
XXX-04,4,4,4,2015,7,2,NA,NA,NA,4,NA,NA,NA,NA,NA,600,100,67.9,NA,Y,N,,1
XXX-04,4,4,5,2015,7,2,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,0,NA,Y,N,,1
XXX-04,5,4,1,2015,7,2,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,NA,Y,N,,1
XXX-04,5,4,2,2015,7,2,NA,NA,NA,2,NA,NA,NA,NA,NA,0,0,0,NA,Y,N,,1
XXX-04,5,4,3,2015,7,2,NA,NA,NA,3,NA,NA,NA,NA,NA,0,0,0,NA,Y,N,,1
XXX-04,5,4,4,2015,7,2,NA,NA,NA,4,NA,NA,NA,NA,NA,0,0,0,NA,Y,N,,1
XXX-04,5,4,5,2015,7,2,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,0,NA,Y,N,,1
XXX-04,6,4,1,2015,7,2,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,NA,Y,N,,1
