"","date","npp_MgC_ha_year_mean","npp_MgC_ha_year_std","plot_code","transect_area_m2","measurement_num","year","month","day","DaysBetween"
"1","2015-12-15",0.789950251459123,0.354351928770306,"XXX-04",4,1,"2015","12","15",166
"2","2016-06-23",0.260247400272419,0.131613296907743,"XXX-04",4,1,"2016","6","23",191
"3","2016-10-17",1.54592564980986,0.575777106978914,"XXX-04",4,1,"2016","10","17",116
"4","2017-02-28",0.220227021363152,0.108256811982067,"XXX-04",4,1,"2017","2","28",134
"5","2017-06-08",0.207319407467532,0.195103988132899,"XXX-04",4,1,"2017","6","8",100
"6","2017-10-06",2.27399520874946,1.07898438851337,"XXX-04",4,1,"2017","10","6",120
"7","2018-03-22",0.214618659727296,0.107635251020658,"XXX-04",4,1,"2018","3","22",167
"8","2019-03-12",0.476299087136455,0.238187506778475,"XXX-04",4,1,"2019","3","12",355
"9","2019-03-13",0.131953232348577,0.0919628681655243,"XXX-04",4,1,"2019","3","13",356
"10","2019-06-17",0.91240243940613,0.436709350907034,"XXX-04",4,1,"2019","6","17",97
